Food Item,Serving Size,Calories,Total Fat,Total Carb,Sat Fat,Dietary Fiber,Trans Fat,Sugar,Cholesterol,Protein,Sodium,Dietary Restrictions
Cauliflower,1 oz,7,0.1g,1.4g,0g,0.6g,0g,0.5g,0mg,0.5g,8.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Cherry Tomatoes,2 oz,10,0.1g,2.3g,0g,0g,0g,1.4g,0mg,0.5g,6.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Corn,3 oz,24,0.2g,5.8g,0g,0.7g,0g,0.9g,0mg,0.8g,164.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Cucumber,1 oz,4,0g,1g,0g,0.1g,0g,0.5g,0mg,0.2g,0.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Edamame (Soybeans),2 oz,80,3.3g,4.7g,0.7g,4.7g,0g,0g,0mg,7.3g,6.7mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Feta Cheese,1 oz,75,6g,1.2g,4.2g,0g,- g,1.2g,25.2mg,4g,260mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Golden Beets,2 oz,25,0.1g,5.6g,0g,1.1g,0g,4.5g,0mg,1g,43.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Gorgonzola Cheese,1 oz,101,8.1g,1g,6.1g,1g,- g,0g,25.3mg,6.1g,384.8mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Hard Boiled Egg,1 ea,87,5.9g,0.6g,1.8g,0g,- g,0.6g,208.9mg,7g,69.4mg,"Vegetarian, Egg, Gluten Friendly, Halal"
Jicama,1 oz,11,0g,2.5g,0g,0g,0g,0.5g,0mg,0.2g,1.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Kalamata Olives,1 oz,66,7.6g,0g,0.9g,1.1g,0g,0g,0mg,0g,680.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Mandarin Oranges,2 oz,34,0g,7.7g,0g,0.4g,0g,6.9g,0mg,0.4g,4.3mg,"Gluten Friendly, Vegan, Vegetarian, Halal"
Navy Beans,2 oz,64,0.2g,11.6g,0.1g,2.9g,0g,0.2g,0mg,4.3g,190.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Olives,1/2 oz,16,1.5g,0.9g,0.2g,0g,- g,0g,0mg,0.1g,104.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Organic Baby Arugula,2 ozl,14,0.4g,2.1g,0g,0.9g,0g,1.2g,0mg,1.5g,15.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Organic Baby Spinach,2 oz,13,0.2g,2.1g,0g,1.2g,0g,0.2g,0mg,1.6g,44.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Organic Spring Mix,2 oz,9,0.1g,1.3g,0g,0.5g,0g,0.3g,0mg,0.8g,14.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pimento-Stuffed Green Olives,1 oz,42,3.1g,2.1g,0g,0g,0g,0g,0mg,0g,707.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Red Beets,2 oz,25,0.1g,5.6g,0g,1.1g,0g,4.5g,0mg,1g,43.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Red Kidney Beans,2 oz,48,0.3g,8.2g,0.1g,2.4g,0g,1g,0mg,3g,167.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Roasted Asparagus,2 oz,43,3.7g,2.3g,0.7g,1.1g,0g,0.7g,0mg,1.3g,104.1mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Roasted Brussels Sprouts,4 oz,99,7.2g,7.9g,1.4g,2.9g,0g,1.9g,0mg,2.8g,296.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Roasted Eggplant,2 oz,52,3.7g,5.1g,0.7g,1.4g,0g,1.7g,0mg,0.5g,97.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Roasted Green Beans,2 oz,35,1.9g,4.3g,0.4g,1.6g,0g,1.9g,0mg,1.1g,100.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Romaine Lettuce,2 oz,10,0.2g,1.9g,0g,0g,0g,0.7g,0mg,0.7g,4.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Seasoned Homestyle Croutons,1 oz,122,4.1g,20.3g,0g,0g,0g,0g,0mg,4.1g,344.3mg,"Vegetarian, Milk, Halal"
Shredded Carrot,1/2 oz,6,0g,1.5g,0g,0g,0g,0.7g,0mg,0.2g,10mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Shredded Cheddar and Jack Cheese,1 oz,106,8.6g,0.2g,5.4g,0g,- g,0.1g,25.2mg,6.9g,170.1mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Shredded Mild Cheddar Cheese,1 oz,115,9.4g,0.9g,5.3g,0g,0.3g,0.1g,28.1mg,6.5g,185.1mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Sliced Mushrooms,1/2 oz,4,0.1g,0.8g,0g,0.3g,0g,0.3g,0mg,0.3g,0.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Sliced Red Radish,1/2 oz,2,0g,0.5g,0g,0g,0g,0.3g,0mg,0.1g,5.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Steamed Broccolini,2 oz,19,0.2g,3.8g,0g,1.5g,0g,1g,0mg,1.6g,18.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Sunflower Sprouts,1 oz,7,0.2g,0.6g,0g,0.5g,0g,0.1g,0mg,1.1g,1.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
